head,relation,tail,noise
"he has not indicated his support of an attempt to provide fair employment practices around the country, so that everyone can get a job regardless of their race or color",attack,"certainly i think all of us agree that when anybody has a government contract, certainly the money that is spent under that contract ought to be disbursed equally without regard to the race or creed or color of the individual who is to be employed",0
there is no way of anticipating what may happen,said in,13-10-1988,0
it's been over a year,said in,11-10-2012,0
that's what he said,said in,06-10-1996,0
"he says invest government, grow government",is a,claim,0
you're taking the same amount of money out of the private sector,is a,premise,0
"but if you're a president, it's not",attack,"now, if you're a red sox fan, that's ok",0
we need to put the pressure on them as hard as we possibly can,said in,22-10-2012,0
"the one thing you can give people solace is to know if they know you've been through it, that they can make it",said in,11-10-2012,0
whether or not he's willing to support the forces of freedom and democracy diplomatically there in the area of eastern europe,support,i think this is an opportunity for the united states to test president putin of russia,0
but john mccain will not support a windfall profits tax,support,"they've made $600 billion since 2001, and john mccain wants to give them, all by itself -- separate, no additional bill, all by itself -- another $4 billion tax cut",0
we are winning in iraq,support,we are winning in iraq,0
"over 20 years in the united states senate, i've worked with john mccain",support,i've done that,0
we tried this with hitler,support,it didn't work,0
i think that he insulted the intelligence of the american people,is a,premise,0
"it's not my term, it's the president's own secretary of defense called these trillion dollars of cuts to our military devastating",said in,22-10-2012,0
"in our administration, in my administration, we will expedite",is a,claim,0
"i would suggest that after premier kush- khrushchev's uh - performance in the united nations, compared with president eisenhower's eloquent speech, that at the present time communist prestige in the world is at an all-time low and american prestige is at an all-time high",said in,07-10-1960,0
i'm not even certain you were too excited about that,is a,premise,0
"i want to lower it, particularly for manufacturing, taking it down to 25 percent",is a,premise,0
we're going to actually tell the american people the truth,is a,premise,0
we've had 10.5 million new jobs created just in the last four years,is a,claim,0
"we are in a deadly competition, a competition not only with the men in the kremlin, but the men in peking",is a,claim,0
you have a selective memory,said in,06-10-1996,0
they know i would not take my eye off of the goal: osama bin laden,is a,claim,0
that's why we're pushing these income tax cuts for middle income families in the context of a balanced budget that protects important programs,is a,premise,0
what we did was take away those leases,support,we are now reletting them so that we can actually make a profit,0
that's just unacceptable,equivalent,that's not america,0
"i was born to a widowed mother who gave me family values, and grandparents",support,i know a lot about that,0
i think this is the very best way to approach it,is a,claim,0
i think that that is the kind of investment where the federal government can help,is a,claim,0
how is raising taxes going to help the consumer in america?,said in,13-10-1992,0
we put in a thing called the job training partnership act,is a,claim,0
we differ on the kinds of appointments that we would make,said in,11-10-2000,0
my dad was head of a car company,is a,premise,0
to double the number of drug enforcement agents,support,"we have work to do to fight a real war, not a phony war, against drugs",0
what has your administration done or planned to do to limit the availability of assault weapons,is a,premise,0
these are things a president must know to command,attack,the leadership of this government did not pursue wise policies,0
90 percent of our kids are there,support,we ought to spend it helping the 90 percent of the kids that we can help,0
i think we can do that,is a,premise,0
"i'm sure your 6th grade kids are listening and saying, these guys will say anything to get elected",is a,claim,0
yet he tells you he's for a middle- class tax cut,is a,premise,0
the soldiers there have a higher rate of re-enlistment than anywhere else in the service,is a,premise,0
"the constitution of the united states says we're all -- you know, it doesn't say that",support,that's not what the constitution says,0
a bipartisan commission reviewed my plan and the bush plan and there were as many republicans as democratic health care experts on it,support,they concluded that my plan would cover everybody and his would leave 27 million behind by the year 2000,0
the interesting place-one of the things that fascinates me about this perestroika and glasnost is wheats going to happen in eastern europe,said in,25-09-1988,0
brags about the unemployment during democratic administrations and condemns the unemployment at the present time,is a,premise,0
the individual mandate was the most unpopular aspect of obamacare,said in,29-09-2020,0
i've gotten up every day and worked for the american people,support,worked so that their children could have their dreams come true,0
i got lots of relatives,support,i might just say i'm from a large family,0
in my judgment that statement has been distorted uh - by mr. nixon and others in their debates around the country and in their discussions,said in,07-10-1960,0
we need to do is to go back to the very same policies that got us there,said in,16-10-2012,0
that's what the question in this campaign is about,support,can you get things done,0
it seems to me that our tax structure today has rates that are too high,support,i think the american taxpayer ought to get an additional tax break - a tax reduction of that magnitude,0
not looking over their shoulder and nitpicking the manner in which they go at the job,is a,claim,0
we have the lowest rate of domestic production of oil now in 46 years,is a,premise,0
let's give him the credit he deserves for organizing operation desert storm and desert shield,is a,claim,0
they don’t come back,attack,check it out,0
i just don't believe we ought to be out there running down teachers and attacking them the way you did at the republican convention,said in,06-10-1996,0
i simply do not want to make these unilateral cuts,said in,13-10-1988,0
"american airlines, delta -- the last few great we have",support,we hammerlock the american companies,0
i think that it's important to just get these facts out,said in,15-10-2008,0
"we should be playing the leadership role there, not on the ground with military",is a,claim,0
"she calls our people deplorable, a large group, and irredeemable",is a,claim,0
the question of what the federal government should do to limit the access of tobacco to young people is one of the biggest differences between senator dole and me,said in,16-10-1996,0
the patriot act is vital,support,enables our law enforcement to disrupt terror cells,0
"it’s just words, folks",said in,09-10-2016,0
"look, it’s just not true",attack,"if you did that in the private sector, you’d be put in jail, let alone after getting a subpoena from the united states congress",0
the intelligence business can do a good job,support,i believe we still have the best foreign intelligence business in the world,0
i will have day-to-day activities with all the people in government,support,i will be prepared to do that,0
"yes, i do",said in,30-09-2004,0
"there's even an apple store in china that's a counterfeit apple store, selling counterfeit goods",said in,16-10-2012,0
he can't tell the truth,said in,13-10-1992,0
this is going to be the great trojan horse of all time,is a,claim,0
that is the continued discussion and claim that somehow i am the villain who is going to pull the social security checks out from those people who are dependent on them,said in,07-10-1984,0
right now all the president is providing is humanitarian support,is a,claim,0
this is an administration that gave you the big tax cut,said in,06-10-1996,0
we find that it's six and nine-tenths per cent and one of the highest in the world today,is a,premise,0
it's going to be a test of our strength,equivalent,it's going to be a test of our nerve and will,0
we've got to stop this greed and excess,said in,07-10-2008,0
"i have not narrowed down a list of three or four people, among whom would be the candidate",is a,premise,0
we don’t have to worry about it,is a,claim,0
"believe me, we have a commit to preserving the environment",is a,premise,0
"well, first, mcclellan did not say definitively the surge principles would not work in afghanistan",said in,02-10-2008,0
to grow from $1 trillion to $3 trillion,is a,premise,0
your question is difficult to answer,said in,28-10-1980,0
"it's moving, not as fast as we'd like",said in,11-10-1992,0
i’m in favor of law,support,"the fact of the matter is, violent crime went down 17 percent, 15 percent in our administration",0
"if we're going to maintain our security in education, in economic growth, in development of natural resources",said in,26-09-1960,0
"when those rich corporations don't pay that tax, the average american taxpayer pays it for 'em",is a,premise,0
james byrd was singled out because of his race in texas,support,i think we can embody our values by passing a hate crimes law,0
you can cut his allowance and achieve the same end much quicker,is a,premise,0
they've turned over the party to this right wing extremist group which takes positions on issues like abortion that don't even allow exceptions for rape and incest,is a,claim,0
we would put out that fire in a half an hour,said in,29-09-2020,0
we do not have to face them here at home,support,we will fight the terrorists around the world,0
"if the president of the united states and the congress of the united states and the people of the united states said, ""i believe our nation is greater than what we are now.""",is a,claim,0
"i'll tell you what i think has been the most outrageous thing in political dialog, both in this campaign and the one in '82",is a,claim,0
we need to put the responsibilities back on the cabinet members,is a,claim,0
they have the opportunity to reenter the community of nations,support,our goal is to get iran to recognize it needs to give up its nuclear program and abide by the u.n. resolutions that have been in place,0
"the tax cuts that vice-president bush and i got last, three years ago, that this president gave out",said in,11-10-1984,0
we took care of the safety issues,said in,08-10-2004,0
that those of us especially who were the sons and daughters of immigrants had a special responsibility to give something to the country that had opened up its arms to our parents and given so much to them,is a,premise,0
they're afraid that some lawyer's going to come along and get a big lawsuit,support,"people don't dare -- medical practitioners, to help somebody along the highway that are hurt",0
"one of our first officers was a woman, the chief financial officer. she was a director",is a,claim,0
this is the 10th or 12th time that he’s denied being for the war in iraq,said in,09-10-2016,0
he wants to make sure that methane’s not a problem,is a,premise,0
he doesn't adequately fund it,is a,claim,0
you cannot lead if you send mixed messages,support,that's my biggest concern about my opponent,0
i want a supreme court that understands because you’re wealthy and you can give more money to something doesn’t mean you have any more rights or should have any more rights than anybody else,said in,09-10-2016,0
then came healthcare,said in,06-10-1996,0
we have believed in partnership,is a,premise,0
you're talking about deploying,is a,claim,0
governor romney's allies in congress have held the 98 percent hostage,is a,premise,0
we need to do is to reestablish the good relationships that we ought to have between the united states and our natural allies and friends,is a,claim,0
i want to simplify the tax code,said in,16-10-2012,0
i would certainly also be judicious in evaluating any potential use of american troops overseas,support,i don't think we agree on that,0
"it seemed to me that if i was to uh adequately and effectively handle the problems of high inflation, a growing recession, the uh - involvement of the united states still in vietnam that i had to give a hundred percent of my time to those two major problems",is a,claim,0
"a cease-fire, the united states, russia, and syria",is a,premise,0
the payroll taxes are your money,support,"you ought to put it in prudent, safe investments so that $1 trillion over the next ten years grows to be $3 trillion",0
a good example of that is the environmental protection laws that we were talking about a moment ago,support,then you've seen an administration that came in and really didn't have it's heart in that kind of an enforcement,0
it was the soviet union that was unwilling to discuss the walk in the woods,said in,11-10-1984,0
we also need the right diplomatic policies,support,we have to move ahead in order to stay ahead,0
"because they didn't have a judicial intervention where she could go somewhere and get help, i voted against it",is a,claim,0
it's ruining us in trade,said in,07-10-1984,0
he is xenophobic,said in,22-10-2020,0
mr. herter has said these islands are indefensible,support,we are in a very difficult position,0
he was the last communist party boss there,support,when i was in the senate before i became vice president i was pushing for stronger action against milosevic,0
"he's talking about the places i grew up in, my neighbors in scranton and claymont",said in,11-10-2012,0
isis happened a number of years ago in a vacuum that was left because of bad judgment,is a,claim,0
they can take care of their oil,is a,claim,0
"we're going to say if you receive federal money, measure third, fourth, fifth, sixth, seventh and eighth grade",is a,claim,0
"i'm going to limit deductions and exemptions and credits, particularly for people at the high end",is a,premise,0
which will commit this nation to the resources to find a cure which will provide broad education and prevention,is a,claim,0
that's what's wrong with mr. bush,said in,19-10-1992,0
those are very disturbing to the american people,said in,22-10-1976,0
with the right policies -- prudent policies -- we can have both,said in,13-10-1992,0
you are going to drive business out,is a,claim,0
"i guarantee you, as president of the united states, i know how to heal the wounds of war",is a,claim,0
i oppose that,said in,13-10-1988,0
he didn't demonize them,support,"mitt romney was governor of massachusetts, where 87 percent of the legislators he served, which were democrats",0
cleaning up two-thirds of the worst toxic waste dumps,is a,claim,0
we cannot afford to make the mistakes of the past,support,we turn to the past,0
"minneapolis, we got it back, joe",support,we believe in law and order,0
"all of the other issues, whether prescription drugs for all seniors that are opposed by the drug companies or the patient's bill of rights to take the decisions away from the hmos and give them to the doctors and nurses, opposed by the hmos and insurance companies",is a,claim,0
kitty and i had very much the same kind of experience that the bushes had,is a,premise,0
it's a subject i'm very familiar with,is a,premise,0
we have a big difference on issues,is a,claim,0
they live all across the country,said in,16-10-1996,0
i immediately disbanded it,is a,premise,0
"this is a gift to isis and the terrorists, violent jihadist terrorists.we are not at war with islam",is a,premise,0
we're after saddam hussein -- i mean bin laden,is a,claim,0
it's our generation's equivalent,is a,premise,0
that is the true way i feel,is a,claim,0
you just give me a job,said in,15-10-1992,0
i think we need is more forums like this,is a,claim,0
they eliminate the guarantee of medicare,is a,claim,0
"we could impose significant meaningful, painful sanctions on the iranians",said in,26-09-2008,0
i remember the floods that swept our state,said in,03-10-2000,0
and you talk about cutting benefits,is a,claim,0
"we have to go to the root cause, and that is in afghanistan and pakistan",said in,26-09-2008,0
"i remember the vice president saying, ""just give us a chance to get up there, we're going to make sure you get tax cuts.""",support,it didn't happen,0
free nations will help us achieve the peace we all want,said in,30-09-2004,0
these are people that care,said in,25-09-1988,0
that terrible circumstance in this country is exported overseas,is a,premise,0
this risky tax scheme would blow a hole in the deficit,is a,premise,0
you can't stop all outsourcing,is a,premise,0
those are the kinds of things that will really boost the economy,said in,26-09-2016,0
they donâ€™t,is a,premise,0
the figures that the president has just used about california is a distortion of the situation there,is a,premise,0
forty-nine percent increase in funding for elementary and secondary education under no child left behind,support,it's vital that we deal with any need for additional troops by putting iraqis into the effort,0
lost more in july than we lost in june,is a,claim,0
"george bush has the experience, and with me, the future, a future committed to our family, a future committed to the freedom",said in,05-10-1988,0
america needed to be safe,said in,30-09-2004,0
this is a major difference that governor romney and i have,is a,premise,0
"we cannot continue to tell the american people that we're going to build all of these systems, and at the same time, invest in important things here at home, and be serious about building a strong and good america",said in,13-10-1988,0
let's focus on jobs,said in,15-10-2008,0
there are folks out there who've been struggling before this crisis took place,support,we need it not just when there's a crisis,0
"cocaine is up 141 percent -- marijuana, cocaine up 166 percent",is a,premise,0
"i visited some of those kids with no limbs today, because they didn't have the armor on those vehicles",said in,08-10-2004,0
you've got to free up the private sector,is a,claim,0
i agree with that,support,there are a million and a half people out there standing in line waiting to adopt children who can't have them any other way,0
we're ready for a recovery,is a,premise,0
the bible says no greater love hath a man than he gave his life,said in,09-10-1996,0
"i would not be able wou- would be willing to meet with him however, unless there were preparations for that conference which would give us some reasonable certainty - some reasonable certainty - that you were going to have some success",attack,i would be willing as president to meet with mr. khrushchev or any other world leader if it would serve the cause of peace,0
"governor romney put out a press release, trying to make political points",said in,16-10-2012,0
you've got to go to the people,support,i think that's the essence of leadership,0
"i said at the time that we had to hold the lid an federal spending, that for every dollar of a tax reduction we had to have an equal reduction in federal expenditures - a one-for-one proposition",support,"at the time, mr. gannon, that i made the recommendation for a $28 billion tax cut - three-quarters of it to go to individual taxpayers and 25 percent to american business",0
he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills,said in,25-09-1988,0
we can't get anything done,said in,19-10-1992,0
the present leadership uh - there is uh - is fairly uniform in - in their purpose,support,"i think it's accurate to say that there is no uh - prospect in their opinion, of the soviet union invading uh - yugoslavia should uh - mr. tito pass away",0
i'm against drilling in the arctic refuge,is a,claim,0
i want to put money in your pocket,said in,08-10-2004,0
we have the highest spending by senator obama's campaign than any time since watergate,support,that's an unfortunate part,0
that's number one,is a,claim,0
wasn't this the george bush that supported mr. meese?,is a,claim,0
"secretary clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement",is a,premise,0
the main issue is whether or not the roe v. wade decision is going to be overturned,is a,claim,0
my position has always been that the job of the united states was to minimize the risks of peace,said in,16-10-1996,0
"i think most americans in their guts know, that we ought to pass a sort of truth standard",is a,premise,0
"i think he should have been severely disciplined, suspended perhaps, immediately",said in,09-10-1996,0
they had a cease-fire three weeks ago,support,"during the cease-fire, russia took over vast swatches of land",0
they want the world,is a,claim,0
it is the growth that this administration has supported and that its policies have stimulated,said in,26-09-1960,0
"i flew a combat mission, my last one was over manila",said in,25-09-1988,0
"how it worked exactly i think we don't know precisely, where thousands of automatic, and ak-47 type weapons were -- were given to people that ultimately gave them to -- to drug lords",is a,claim,0
it's directly relevant,is a,claim,0
generals testified to that,support,"i remember in the period immediately before the korean war, south korea was supposed to be indefensible as well",0
i may have to make those tough decisions,support,the security of your young men and women who are serving in the military are my first priority right after our nation's security,0
it's well-known that i have not been elected miss congeniality in the united states senate nor with the administration,support,"i have opposed the president on spending, on climate change, on torture of prisoner, on - on guantanamo bay",0
"with respect to our attitude about the iranian revolution, i was very clear about the murderous activities that had taken place and that was contrary to international law and everything that civilized people stand for",is a,claim,0
there is now a smaller percentage of the voters made up of parents with children than ever in american history because of the aging of our population,said in,17-10-2000,0
three-quarters of them said it makes us less likely to hire people,said in,03-10-2012,0
"when you look at what germany pays for money and what we don't pay for money, you realize there's quite a spread",said in,15-10-1992,0
"if you're paying less than you paid a year or two ago, why, then, the strategy is working",support,"i will fight for oil, coal and natural gas",0
i’m going to fix it,said in,09-10-2016,0
mr. perot wants to do the same thing,support,i agree with him,0
i trust you with your own money,support,it's just the right position to take,0
nafta doesn't have -- did not have enforceable labor agreements and environmental agreements,is a,claim,0
"they've got enough to make another 40,000",is a,claim,0
now i've seen a good many hundreds of thousands of people who are uh - not adequately fed,said in,07-10-1960,0
fifteen percent of americans are in poverty,support,"his economic agenda, more spending, more borrowing, higher taxes, a government takeover of health care. it's not working",0
there is a huge difference in our economic plan,said in,09-10-1996,0
"the time line that i've set out -- and again, i want to correct the president, because he's misled again this evening on what i've said",is a,claim,0
we have gone after al qaeda's leadership like never before,is a,premise,0
"you're going to be supporting a ticket that wants to increase taxes, which ultimately kills jobs, and is going to hurt our economy",said in,02-10-2008,0
i think we come at it from somewhat different perspectives,is a,premise,0
"i would never do anything that would increase the taxes for those who work for a living, or who are presently required to list all their income",support,i think that would be a - a very serious mistake,0
there will be more than enough space for everybody,said in,11-10-1984,0
"a couple of days ago i went with governor lawton chiles, who was here, to sarasota to the friendship senior center. i talked with a woman there named dorothy wornell and she said, ""you know, we may not be as sophisticated as some of those people in washington, but we can add and subtract.""",is a,premise,0
everybody's taxed too much,is a,claim,0
itâ€™s what are you going to do about it?,attack,"you keep talking about trickle-down economics and all this stuff, about the worst economy since hoover",0
$2 trillion in additional military spending that the military hasn't asked for,support,that's $8 trillion,0
this is a very important issue,support,you can get a pretty good idea of how they'll interpret questions,0
mr. carter had canceled the b-i bomber,support,"taking that one no from the soviet union, we then went back into negotiations on their terms",0
and they don't want this deadly new effort to bring weapons into the heavens,support,the american people want arms control,0
i don't know what that means,said in,25-09-1988,0
the world is safer without saddam hussein,is a,claim,0
"i think i should also add that as far as senator kennedy's proposals are concerned, if he intends to carry out his platform - the one adopted in los angeles - it is just impossible for him to make good on those promises without raising taxes or without having a rise in t- prices or both",is a,claim,0
i don't know where this canard could have come from about mr. falwell picking the supreme court justices,said in,11-10-1984,0
let's look at the other side of the coin,support,let's look at the vote on the congo,0
the american military has performed brilliantly,said in,05-10-2000,0
"everybody’s talking about how iraq, which is us with our leadership, goes in to fight mosul",said in,09-10-2016,0
it isn't worth the paper it's printed on,is a,claim,0
the oil was their primary source of income,support,we should have taken the oil,0
while it's gone up about the rest of the nation,said in,05-10-1988,0
i know that there's no such thing as a routine day in the oval office,is a,claim,0
"there's going to be 125,000 trained by the end of this year",is a,claim,0
"if you look at his record, he doesn't display the qualities of somebody who has conviction",said in,05-10-2004,0
it is not a government takeover,said in,08-10-2004,0
we need to call upon syria to release the three israeli soldiers who have been captured,said in,11-10-2000,0
it's a matter of morality,is a,claim,0
"one is strobe talbott in his classic book, ""deadly gambits.''",is a,claim,0
maybe he's for everything as long as it's not helped forward by the government,is a,claim,0
"this comes from an answer that i've made at least 50 times during this campaign to the press, when i am asked have you any ideas of what you would do if you were there?",support,i have been accused lately of having a secret plan with regard to the hostages,0
deal with mandatory minimum sentences,is a,premise,0
you want to increase the regulations and make them even worse,support,your regulations are a disaster,0
there's a sense of american occupation,is a,claim,0
what i do is i close corporate loopholes,support,i think those are pretty important priorities,0
"at the other extreme, uh - just 1 percent of the richest people in our country derive 25 percent of all the tax benefits",is a,premise,0
only one of them up there in washington,is a,premise,0
i think they're taxed too much,attack,"governor clinton's program wants to tax more and spend more -- $150 billion in new taxes, spend another $220",0
not just in libya,is a,claim,0
that government can do without,is a,claim,0
"if we're going to have another summit conference, there must be negotiations at the diplomatic level - the ambassadors, the secretaries of state, and others at that level - prior to that time",is a,claim,0
donald supported the invasion of iraq,said in,26-09-2016,0
not yet been able to do to bring people to the table,support,i know i can do a better job in iraq,0
there have been several indications that our prestige is not as high as it once was,said in,13-10-1960,0
credibility is formed by being strong with your friends and resolute in your determination,is a,claim,0
just yesterday the duelfer report told you and the whole world they worked,said in,08-10-2004,0
we got a lot of it done,support,"38,000 prisoners were released from federal prison",0
we have to bring interest rates down,said in,25-09-1988,0
mitt romney is uniquely qualified to fix these problems,said in,11-10-2012,0
i believe this economy is sound and that we're going to move up,said in,07-10-1960,0
that election will put in place a democratically elected government that will take over next december,support,"we've made enormous progress in afghanistan, in exactly the right direction, in spite of what john edwards said two and a half years ago",0
"six million people are off the taxpaying payrolls because of that tax reform, and they are keeping the tax money there",support,"this administration, and a george bush administration, will be committed to eradicating poverty",0
we could uh - also uh - help our youths with some of the proposals that uh - would give to young people an opportunity to work and learn at the same time,said in,23-09-1976,0
it was ignored in that case and it was a very very serious mistake in judgment,is a,claim,0
brags about the unemployment during democratic administrations and condemns the unemployment at the present time,said in,06-10-1976,0
i was gone,support,i wasn’t,0
it was a disaster from our standpoint,is a,claim,0
"the president, i don't think, is living in a world of reality with respect to the environment",said in,08-10-2004,0
will we use the prosperity to enrich all of our families and not just a few?,said in,03-10-2000,0
would she never support it if the violation of human rights was so great and quiet support was necessary for freedom fighters,said in,11-10-1984,0
the reality is that the best defense is a good offense,said in,05-10-2004,0
that's progress with the environment,is a,premise,0
look at where we are today,is a,premise,0
"it's not only the old industries that are failing, it's also the new ones",support,the economy is not doing well,0
"we don’t need a massive, $2 trillion green new deal that would impose all new mandates on american businesses and american families, joe biden wants us to retrofit 4 million",support,it will cost jobs,0
