relation	head	tail
__label__Support	greatness is not something that is written on a campaign poster	It will not be our ambition that will determine it
__label__Equivalent	I do not expect it to come	I do not believe we're going into a recession
__label__Support	The biggest problem I have with the stupidity of our foreign policy, we have Mosul	we will be attacking Mosul in three weeks or four weeks
__label__Support	pointing the finger of blame at others in terms of blaming business or various groups for failings	I don't think you can do it, with all due respect to Al Gore, with somebody who spent all the last 24 years in that Washington environment and who campaigns on the basis of castigating others
__label__Attack	We have a very consistent policy in the Middle East	I do believe that we didn't gain a great deal in the Mideast by bringing three of the four leaders, one refused to come, to Washington D.C.
__label__Support	I think that we've had enough of a record of letting -- under the guise of revolution -- someone that we thought was a little more right than we would be, letting that person go, and then winding up with totalitarianism, pure and simple, as the alternative	I think that we're better off, for example with the Philippines, of trying to retain our friendship and help them right the wrongs we see, rather than throwing them to the wolves and then facing a Communist power in the Pacific
__label__Support	We had a 1.2 million bankruptcy, set a new record	That's not true
__label__Support	it's 7.8 percent now	they haven't put Americans back to work
__label__Support	Many say four and a half per cent	That's why we don't have full employment today
__label__Support	That was a command decision made by the commanders on the spot and based with what they thought was best for the men there	the President of the United States did not order the marines into that barracks
__label__Attack	It will create jobs	a Democratic Congress won't pass it
__label__Support	I want to give small business employers a tax credit, 25%, to encourage the providing of health insurance for the employees in small businesses	I want to give a tax credit for the purchase of individual health insurance plans
__label__Support	This strategy requires additional troops	we came up with a great general and a strategy that has succeeded
__label__Attack	It is time to reach out for a better nation	We simply cannot stand to continue with this failed approach that is no good for us
__label__Support	we've had years in which the reigning economic ideology has been what's good for Wall Street	we need it not just when there's a crisis
__label__Support	Georgia and Ukraine are both major gateways of energy into Europe	energy is going to be a big, big factor
__label__Support	the idea of a terrorist in the middle of one of our cities with a nuclear weapon, is very real	we have to use extraordinary measures to deal with it
__label__Support	you have to make decisions even when it's against your own interest	I've done that
__label__Support	there's so much fascination with trivia	you might have missed it
__label__Support	it's been the great honor of my life, and I've been proud to serve	I've asked you not only to examine my record, but my proposals for the future of this country
__label__Support	We passed two very forward-looking civil rights bills	I've tried to use the White House as a bully pulpit, speaking out against discrimination
__label__Support	that's where bin Laden lives	we will go at him if we have actionable intelligence
__label__Attack	We've got seven and a half million people out of jobs	more jobs available
__label__Support	It's ruled by a handful of tribes	I've been to Waziristan
__label__Support	our mayor, our new mayor, refused to go forward with the case	No, you're wrong
__label__Support	to fight to keep that dream in America, that I saw as a young man, alive for every parent sitting at that kitchen table	John Kerry and I are asking you to give us the power to fight for you
__label__Support	Over the last 30 months, we've seen 5 million jobs in the private sector created	because of the resilience and the determination of the American people, we've begun to fight our way back
__label__Attack	Not me	I have heard you say this time after time
__label__Support	the economy was so worsened that I was openly saying that what we had thought on the basis of our plan could have brought a balanced budget	that was no longer possible
__label__Support	the House and the Senate did likewise	I think the matter is closed once and for all
__label__Support	which has not been revised in a good many years	We - uh believe that uh you can revise the federal criminal code
__label__Support	We've seen 10.5 million new jobs created in the last four years	The good news is we're making progress
__label__Attack	I think that that is the kind of investment where the federal government can help	Governor Romney doesn't think we need more teachers
__label__Support	I think that homeowners have to be respected and their right to have a gun if they wish to	I will not do anything to affect the rights of hunters or sportsmen
__label__Support	Governor Romney's central economic plan calls for a $5 trillion tax cut	on top of the extension of the Bush tax cuts -- that's another trillion dollars
__label__Support	All seniors will be covered	I'm going to work with Democrats and Republicans to reform the system
__label__Attack	I was surprised to hear you mention that	because you had said that there isn't anything -- such a thing as clean coal
__label__Support	strongly promoted by President Bush and supported by Senator McCain	I believe this is a final verdict on the failed economic policies of the last eight years
__label__Support	I can't tell you where it's going to be	I can't even tell you the circumstances
__label__Support	it's sterilizing our lakes, it's killing our fish	a way, in turn, can fight against acid rain which is another threat
__label__Support	What I will do is permit people to buy into Medicaid	I am proud to have been part of an administration that past the first catastrophic health bill
__label__Support	a commission to investigate 9/11, and find out what happened, and fix it	9/11, Senator Joe Lieberman and I decided that we needed a commission
__label__Attack	Your party doesn’t say it	That is simply a lie.
__label__Support	We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country.I have a very positive and optimistic view about what we can do together	So that’s why I hope that we will come together in this campaign
__label__Support	She doesn't have the stamina	She doesn't have the look
__label__Attack	also to be strong in our reputation and influence within the community of nations	These uh - characteristics of our country have been endangered under Mr. Ford
__label__Support	I think these questions are inherently personal and moral	won't work
__label__Support	Served as Secretary of Defense, and then had significant experience in the private sector	I think the areas that I would bring are the things that Governor Bush emphasized when he picked me
__label__Support	You know that	Whenever you get a large rally of 10,000, 15,000, 20,000 people, you're going to have some fringe peoples
__label__Attack	this isn't going to be necessary	this should have been a time for American leadership
__label__Support	we have a tremendous machine	if we do, you don't have to bother asking your question
__label__Support	Right now, the CBO says up to 20 million people will lose their insurance as Obamacare goes into effect next year	likewise, a study by McKinsey and Company of American businesses said 30 percent of them are anticipating dropping people from coverage
__label__Support	as a president, I have to represent all the people in the nation	I have to make that judgment
__label__Support	we will come home	we are winning in Iraq
__label__Attack	He feels that we're moving ahead	I believe that our power and prestige in the last eight years has declined
__label__Support	They're now going to have to be paying copays for basic checkups that can keep them healthier	those seniors right away are going to be paying $600 more in prescription care
__label__Support	after all of those investigations by objective, responsible people	I think the matter is settled once and for all
__label__Support	The clock is ticking	We're not going to allow Iran to perpetually engage in negotiations that lead nowhere
__label__Support	Bullying is up	there’s a lot of fear—in fact, teachers and parents are calling it the Trump effect
__label__Support	the president opposes it	One of my proudest moments was signing the Religious Freedom Restoration Act
__label__Support	there's some pretty egregious examples recently	I think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way
__label__Support	You can also use those accounts for health care or education or a first home	we have in our economic pack, -- individual retirement accounts where we think it will encourage savings
__label__Support	they are supported by the People's Republic of China	I think in all fairness and equity we have to recognize the problem that South Korea has
__label__Support	They succeeded with Jordan	they have a track record of being able to forge these peace agreements
__label__Attack	I beg to disagree with you, again, here on whether you supported Barack Obama or John McCain's strategies	So John McCain's strategy in this war, not just whether or not to go, the actual conduct of the war has been absolutely wrong from the outset
__label__Support	The problem with raising taxes is that it slows down the rate of growth	you could never quite get the job done
__label__Attack	that's just not true what he said	900,000 small businesses will be taxed under his plan
__label__Support	it was a disaster	The mistake that both parties made in Washington with the S&amp;L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives
__label__Support	We have to be willing to make good, sound judgments	I know the value of making sure our troops have the latest technology
__label__Support	who realizes we have to abandon trickle-down economics	I think it's important to elect a president who is committed to getting this economy going again
__label__Support	That's not leadership	Both parties carry a huge blame for that on their shoulders
__label__Support	We have fewer people working today than we had when the president took office	they haven't put Americans back to work
__label__Support	that's why they were supportive of the approach that we took	this is the reason why AARP has said that your plan would weaken Medicare substantially
__label__Attack	that's not true	Vice President Quayle said they're important, but George Bush eliminated them from his urban plan
__label__Support	We can only get 4,000 to 5,000 into South Korea	That is not free trade
__label__Support	Senator Bentsen two times in the United States Senate voted to delay the cost-of-living adjustments	John, you are right: they use this for political advantage
__label__Equivalent	we haven't been trigger-happy	that doesn't indicate that we're trigger-happy
__label__Support	"if we want to talk about Congressman Lewis, who is an American hero, he, unprompted by my campaign, without my campaign's awareness, made a statement that he was troubled with what he was hearing at some of the rallies that your running mate was holding, in which all the Republican reports indicated were shouting, when my name came up, things like ""terrorist"" and ""kill him,"""	I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters
__label__Support	Everyone should be respected by the law, and everyone should respect the law	I have, ever since the first day of my campaign, called for criminal justice reform
__label__Attack	After 9/11, we had to recognize that when we saw a threat, we must take it seriously before it comes to hurt us	In the old days we'd see a threat, and we could deal with it if we felt like it or not
__label__Support	John Edwards is the author of the Patients' Bill of Rights	He wanted to give people rights
__label__Attack	Joe Biden believes you measure the health and the strength of America’s economy based on the health, and the strength of the American worker and the American family.	On the other hand, you have Donald Trump, who measures the strength of the economy based on how rich people are doing.
__label__Support	there are many people who I admire in this country today	there are many, many heroes in this country today
__label__Support	I was in a state where my legislature was 87 percent Democrat	I learned how to get along on the other side of the aisle
__label__Support	We can do better than this	I want to get America's economy going again
__label__Support	we've been involved with Iran	I fully understand the threat
__label__Support	we're defending them	the 28 countries of NATO, many of them aren't paying their fair share
__label__Attack	that's just a fact	That's not true
__label__Support	we would have a fight between Sunnis and Shias	we would be tied down for a decade and cost us hundreds of billions of dollars
__label__Support	Energy we have to deal with today	that would be priority number one
__label__Support	It may be necessary for us to begin testing again	make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels
__label__Attack	every time you've offered an opinion, you've been wrong	You said that we should still have troops in Iraq to this day
__label__Support	It's interesting to see that the Senator from Indiana, when we had a resolution on the floor of the United States Senate sponsored by Senator Dole, that this government would make no deal with Noriega - that the Senator from Indiana was one of the dozen senators that voted against it	that is one thing we would correct under a Dukakis-Bentsen administration
__label__Support	I'm going to change that	reinstating what President Bush took away, which is called pay as you go
__label__Support	we have to trade with the other 95 percent	we need to have smart, fair trade deals
__label__Support	maybe go into a recession	they know it's got to come down
__label__Support	they will be removed	we're not in the habit of assigning guilt before there has been proper evidence produced and proof of that guilt
__label__Support	we have been the safety valve, whether we wanted to or not, with the illegal entry here, in Mexico, where their population is increasing and they don't have an economy that can absorb them and provide the jobs	this is what we're trying to work out, not only to protect our own borders but to have some kind of fairness and recognition of that problem
__label__Support	I believe, for example, that there is a right of privacy in the Fourth Amendment	in my view, the Constitution ought to be interpreted as a document that grows with our country and our history
__label__Support	it's necessary	I don't think the Patriot Act abridges your rights at all
__label__Support	I want to make sure that the Iranians are put enough -- that we put enough pressure on the Iranians by joining with our allies	I think we can do that
__label__Support	Second, he's wrong in the analogies that he makes	I think Kenne- Senator Kennedy is wrong on three counts
__label__Support	I'm running to be a president who happens to be Catholic	I think that everything you do in public life has to be guided by your faith, affected by your faith, but without transferring it in any official way to other people.
__label__Equivalent	I'm serious though	I'm also a serious guy
__label__Support	They're the best -- they're most -- have best -- we're the best exporters	Americans' workers are the best in the world
__label__Support	today that their total gross national product is only forty-four per cent of our total gross national product.	They start from a much lower base.
__label__Support	Part of it is seeing if we can get an assault weapons ban reintroduced	I'm trying to do is to get a broader conversation about how do we reduce the violence generally
__label__Support	we will continue to move for normalization of relations in the traditional sense	those will be the policies of this administration
__label__Support	I was sure glad to see that I had paid 42 percent of my gross income in taxes	yes, I favor disclosure
__label__Support	We've had record numbers of new small businesses and 10 and a half million jobs	It didn't hurt the economy
__label__Support	It still goes on, I would assume, on both sides	I never suggested espionage should stop
__label__Attack	there was some very interesting testimony given by Governor Carter's successor, Governor Busby, before a Senate committee a few uh - months ago on how he found the Medicaid program when he came into office following Governor Carter	Medicaid's in one agency
__label__Support	we must, as past Presidents before this one have done, meet on the common ground of survival	Where I part with the President is that
__label__Support	You put your thumb on a button and somebody blows up 20 minutes later	the whole controversy about land missiles came up because we thought that the strategic nuclear weapons, the most destabilizing are the land-based
__label__Equivalent	Nancy Pelosi does not want to approve it.	Nancy Pelosi doesn’t want to approve anything
__label__Support	the right course for us, is working through our partners and with our own resources, to identify responsible parties within Syria, organize them, bring them together in a -- in a form of -- if not government, a form of -- of -- of council that can take the lead in Syria	make sure they have the arms necessary to defend themselves
__label__Support	the figures also show that the uh, uh - bonded indebtedness of the state of Georgia during his governorship went up over 20 percent	I think our record of cutting back employees, plus the failure on the part of the Governor's programs to actually save employment in Georgia, shows which is the better plan
__label__Equivalent	we don’t have to worry about it.	we don’t have to worry about it
__label__Attack	He can't come here and tell you that he's created health care for Americans	we've got 5 million Americans who have lost their health care, 96,000 of them right here in Missouri
__label__Support	We'll have to see if that happens	We might have no other choice
__label__Support	We need strong borders	she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years
__label__Support	I don't want my ten year old grandchild to go into an X-rated movie	I like those ratings systems
__label__Support	We need strong leadership	I'll work with you
__label__Support	He favors this supply maintenance or production controls	We have a fundamental difference, approach on agriculture
__label__Support	When I got to the United States Senate and went on the Judiciary Committee as a young lawyer, I was of the view and had been trained in the view that the only thing that mattered was whether or not a nominee appointed, suggested by the president had a judicial temperament, had not committed a crime of moral turpitude, and was -- had been a good student	it didn't take me long -- it was hard to change, but it didn't take me long, but it took about five years for me to realize that the ideology of that judge makes a big difference
__label__Support	Or remember when he said this: I guarantee if you make less than $250,000, your taxes won't go up	Look at all the string of broken promises
__label__Support	A group of Arab scholars came together, organized by the U.N., to look at how we can help the -- the world reject these -- these terrorists	And the answer they came up with was this:
__label__Support	It is so sad when you see what's happened	Aleppo is a disaster
__label__Support	I applaud the no-fly zone, and I know that he's going back to the United Nations to try to get authority to enforce it	The US should try to work with its allies and stop it
__label__Support	if we would determine once and for all, is an unborn child a human being?	I happen to believe it is
__label__Support	I noted that nobody was really benefitting except a very small group at the top	The average person wasn't benefitting
__label__Support	You're going to lose some deductions	Nobody who's looked at it that's serious, actually believes it adds up
__label__Support	The United States came together as we haven't in many, many years	I think the biggest dividend of making these tough calls is the fact that we are less afraid of nuclear war
__label__Support	We are moving forward with negotiations	I just think it would be dumb negotiating policy with the Soviets to cut out one or the other of the two options right now
__label__Support	your interest rates will go up	I don't want to see us blow a big hole in the deficit with a tax program we can't pay for
__label__Support	"We said, ""Peace through strength,"""	it worked
__label__Support	He said that many of these countries equate space developments with scientific productivity and scientific advancement	There have been several indications that our prestige is not as high as it once was
__label__Attack	They're going to increase it $2 billion	we're not just going to cut the defense budget like they're -- they're proposing
__label__Support	I'd just assume not have the government telling me what kind of health care I get	I know my own view is I'd rather have a private plan
__label__Attack	That was the right thing to do	but obviously there was a great deal of anger even before that
__label__Support	the polls show that the majority of Hispanics want that bill	I'm not doing it for political reasons
__label__Support	the answer then really lies in the Middle East and terrorism happening all over the world, is a solution to the Palestine question	the follow on to Camp David under the umbrella of the Reagan September of 1982 initiative
__label__Support	Senator, I served with Jack Kennedy	Senator, you are no Jack Kennedy
__label__Support	I think one of the things we’re gonna have to do is we’re gonna have to bail them out, too.	I do
__label__Support	I don't have any plan to cut education funding and -- and grants that go to people going to college	I'm not going to cut education funding
__label__Support	they eliminate the guarantee of Medicare	their ideas are bad
__label__Support	I don't agree with that	I don't think there's anything wrong with an honest person who happens to represent an interest of another country for making his case
__label__Support	It has stood for a strong foreign policy and a strong national defense	That's the importance of party
__label__Support	I have instructed Cabinet members and staff they are not to bring up any of the political ramifications that might surround the issue	I don't want to hear them
__label__Support	The governors did that	Federal government doesn't do that
__label__Support	It encourages them to begin a war	every time you make such a concession it does not lead to peace
__label__Support	Saddam Hussein is in jail, his government is no longer in power	The world is far safer today
__label__Support	that launched a campaign to try to get the record companies to put ratings that -- warning labels for parents.	I'm so proud of what she accomplished in getting them on there
__label__Attack	I heard them ask just for something that would give them hope	I believe that, while all of the promises have been broken, they've never been carried out
__label__Support	Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system	for 30 years, I’ve produced results for people
__label__Support	tripled the number of loans to women business people, no one unqualified, everybody had to meet the standards	I have also worked hard to give people a chance to prove that they are qualified
__label__Support	the reason they blame Russia because they think they’re trying to tarnish me with Russia	they always blame Russia
__label__Support	paralyzed into inaction	When the recession came they were like a deer caught in the headlights
__label__Support	if we're providing a viable economy	this country's on the move
__label__Support	they're liberal Democrats	I hope a lot of them lose
__label__Support	if you just add the numbers up	he spends more money on a tax cut for the wealthiest 1% than all his new proposals for prescription drugs, healthcare, education, and national defense combined
__label__Attack	That's why we got into so much trouble	did not answer the question of defending John McCain about not going along with the deregulation, letting Wall Street run wild
__label__Support	The reality is that the best defense is a good offense	One thing that we agree about is the need to be offensive in going after terrorists
__label__Support	I always believed he was a threat	I do believe Saddam Hussein was a threat
__label__Support	I think Captain Miller's testimony to that effect is the best evidence	we handled it responsibly
__label__Support	we distributed free trigger locks in the State of Texas	I'm for trigger locks
__label__Support	work with both sides of the aisle, in my cabinet, appointing those who would serve regardless of party, Democrats, independents, Republicans, whatever it took to get the job done	That's what I've done as governor
__label__Support	I am putting my confidence in a whole generation of people that are in their 30Ï€s and 40Ï€s	Dan Quayle is one of them and I am one of them
__label__Support	Mixed messages send the wrong signals to the Iraqi citizens	You cannot lead if you send mixed messages
__label__Support	you're going to hear a giant sucking sound of jobs being pulled out of this country	the core problem that faces everybody in manufacturing in this country, it's that agreement that's about to be put into practice
__label__Support	They delivered take-home pay, checks that were shrinking	They delivered
__label__Attack	No one who has a child who is nineteen or twenty years old, a son, would ever say that at the loss of anybody else's child	they better not tell the parents of those young marines
__label__Attack	Governor Reagan's proposal, the Reagan-Kemp-Roth proposal, is one of the most highly inflationary ideas that ever has been presented to the American public	my economic plan calls for that
__label__Support	We've had four budgets, four trillion-dollar deficits	Look at all the string of broken promises
__label__Support	if we reverse the policies of the last eight years that got us into this fix in the first place and that Senator McCain supported	we are going to be in a position to deal with Social Security and deal with Medicare
__label__Support	what I want to do is continue the tax rates -- the tax cuts that we put into place for small businesses and families	under my plan, 97 percent of small businesses would not see their income taxes go up
__label__Support	we've seen over the last several years is Iran's influence grow	our policy over the last eight years has not worked
__label__Support	In the same way that you initially opposed a timetable in Afghanistan, now you're for it, although it depends	the problem is, is that on a whole range of issues, whether it's the Middle East, whether it's Afghanistan, whether it's Iraq, whether it's now Iran, you've been all over the map
__label__Support	we've been living beyond our means	we're going to have to make some adjustments
__label__Support	That is the bottom line.	It keeps guns out of the hands of people who should not have guns
__label__Support	that isn't good enough	I am never satisfied with the economic growth of this country
__label__Attack	In some circumstances	You wrote a letter saying that you oppose taxpayer funding of abortion
__label__Support	The United States of America shouldn't be blamed for the management of Mexico's monetary policy	I fail to understand the basis of the charge that we caused the monetary crisis in Mexico
__label__Support	she doesn't say is that President Obama has deported millions and millions of people just the way it is	Nobody knows about it
__label__Support	To destroy life to save life is -- it's one of the real ethical dilemmas that we face	I think we've got to be very careful in balancing the ethics and the science
__label__Attack	I would suggest he start by canceling some of those new spending program that he has	Senator Obama has $800 billion in new spending programs
__label__Support	Kenny was a great talker	he used to tell me things that I knew were not quite accurate
__label__Support	it was in many cases stolen PAC money	they were flooding both parties with crooked PAC money
__label__Support	corruption in official agencies, like militaries and police departments around the world, customs officials, that's one of the worst forms of it	I think one of the big issues here that doesn't get nearly enough attention is the issue of corruption
__label__Support	We have to have nuclear power	the point is that we become energy independent and we will create millions of jobs -- millions of jobs in America
__label__Support	would have the right to get out without penalty every year	one of the things that I tried to do was to make sure that everybody in the country who was under a managed care plan should at least have three choices of plans
__label__Support	what did the administration decide to do	They gave the responsibility of capturing and/or killing Saddam -- I mean Osama bin Laden to Afghan warlords who, just a few weeks before, had been working with Osama bin Laden
__label__Support	It's happening in other states that we visit, too	It's a national problem
__label__Attack	it's not just campaign rhetoric	I think that militarily we are as strong as any nation on earth
__label__Support	We ought to do, and we're doing everything we can to get the inspectors back in there	We have been struggling with Saddam about the inspectors
__label__Support	That's the enemy that was allowed to walk out of those mountains	That's the enemy that attacked us
__label__Support	the answer is I could do that	Yes, I could
__label__Attack	They have	"The president is the one that said, ""We can't allow countries to get nuclear weapons."""
__label__Support	we have added employment of about four million in the last seventeen months	we have eighty-eight million people working in America today - the most in the history of the country
__label__Support	You walk down the street, you get shot	We have a situation where we have our inner cities, African- Americans, Hispanics are living in hell because it's so dangerous
__label__Support	They named him because of his votes	They don't name him the most liberal in the United States Senate because he hasn't shown up to many meetings
__label__Support	The president blocked you from the right to have less expensive drugs from Canada	this administration has stood in the way of common-sense efforts that would have reduced the costs
__label__Attack	that can't hide the fact that there are eight million men and women out of work in America today, and two million of those lost their jobs in just the last few months	providing an enormous number of jobs
__label__Support	we're not going into a recession in this country, economically	He feels that we're moving ahead
__label__Support	His experience has been different from mine	Senator Kennedy's is there for the people to consider.
__label__Support	We had Mosul	Mosul is so sad
__label__Equivalent	We say we will defend it if it's part of a general attack on Formosa	We should come to its defense
__label__Support	if you want change	you need to get somebody that knows how to bring Republicans and Democrats together to get positive things done for America
__label__Attack	No	You made the comment that the Gulf War coalition in '91 was far stronger than this
__label__Attack	The treaty does not include these two islands	the United States now has a treaty - which I voted for in the United States Senate in 1955 - to defend Formosa and the Pescadores Island
__label__Support	I've worked with other colleagues	I've done that
__label__Attack	we didn't listen to the freeze advocates, and strengthen the defense of this country, we now have the first arms control agreement in the nuclear age	he wants to do away with the Midgetman and the MX, the modernization or our nuclear capability
__label__Support	We also need to have a great reduction in agencies and programs	This needs to be changed
__label__Support	that's what my campaign is about	that's really what this campaign is going to be about
__label__Support	now ten to twelve billion dollars worth of arms overseas to countries that quite often use these weapons to fight each other	Under the last Democratic administration 60 percent of all weapons that went into the Middle East were for Israel
__label__Support	it costs more to keep them in prison than it does to send them to Harvard	Cheapest money you'll ever spend
__label__Support	DIVAD	I can tell him some I'm against
__label__Support	I know, as I think you do, that our country is strongest when we lead the world, when we lead strong alliances	I'll never give a veto over American security to any other entity -- not a nation, not a country, not an institution
__label__Support	Women are going to vote	They have done wonders writing their own constitution for the first time ever
__label__Support	then you've seen an administration that came in and really didn't have it's heart in that kind of an enforcement	that's why it's important that you have people that truly believe and trying to represent the working men and women of America
__label__Equivalent	It's what we believe	It's what we stand for
__label__Support	I did support the '76 measure that he told about	I will say as a Democrat, I was a real piker, Mr. President
__label__Support	just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance	this is another fundamental difference that I have with the vice president
__label__Support	It not only liberated - uh black people but it also liberated the whites	I think the greatest thing that ever happened to the South was the passage of the Civil Rights Act and the opening up of opportunities - uh to black people
__label__Support	We created partnerships throughout the region to deal with extremism in Somalia, in Yemen, in Pakistan	our strategy wasn't just going after bin Laden
__label__Attack	The reason is, we've had absolutely no leadership	How can you talk about family values, Dan, and twice veto the Family Medical Leave Act?
__label__Support	It does involve going after them online	I have put forth a plan to defeat ISIS
__label__Support	I think this is very harmful at a time Mr. Khrushchev is here	it's wrong
__label__Support	it happened with scarcely any shots being fired	The fact is, we restored democracy to Haiti
__label__Support	I simply don't want to see the ratings on movies	I don't want my ten year old grandchild to go into an X-rated movie
__label__Support	that's good and that's helped	We've put a cap on the growth of all that spending
__label__Support	You're cutting back on maintenance and equipment	We know where you're cutting right now
__label__Support	We're going to go right back to what we had under Mr. Truman when he had political control of the Federal Reserve Board	what he is saying there in effect, we're going to have inflation
__label__Support	to say that the borders are not as protected as they were prior to September the 11th shows he doesn't know the borders	They're much better protected today than they were when I was the governor of Texas
__label__Attack	I must say that the reason that the schools have been constructed is because the local school districts were willing to increase the property taxes to a tremendously high figure - in my opinion, almost to the point of diminishing returns in order to sustain these schools.	this Administration has encouraged individual enterprise;
