head,relation,tail
tremendous beyond belief,support,stop-and-frisk had a tremendous impact on the safety of new york city
"like franklin roosevelt, i don't care whether an idea is a republican idea or a democrat idea",support,we need to be united as a country
had they had time to do their job,support,they would have discovered what we now know
i think in all fairness and equity we have to recognize the problem that south korea has,support,south korea faces a very delicate situation
"we still have the strictest air control, or air pollution laws in the country",support,"if it is a well-known fact that i opposed air pollution laws in california, the only thing i can possibly think of is that the president must be suggesting the law that the federal government tried to impose on the state of california - not a law, but regulations"
they've gotten a $7.5 billion no-bid contract in iraq,support,we didn't think halliburton should have a no-bid contract
that's absurd,support,i don't support it
"who are taking their lives in their hands everyday, when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids",support,i think of people in the law enforcement community
"although governor reagan has changed his position lately, on four different occasions, he has advocated making social security a voluntary system",support,"which would, in effect, very quickly bankrupt it"
"if we had not taken our initiative, it's very, very possible that uh - the government of rhodesia would have been overrun and that the soviet union and the cubans would have dominated uh - southern africa",support,"if the united states had not moved when we did in southern africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world"
"when these presidential debates were held just four years ago, i remember the incumbent president, who was willing to debate, president ford, telling the american people that they simply ought not to vote for somebody who promised more than they could deliver",support,we've seen what has happened
they're doing a superb job,attack,he won't count the sacrifice and the contribution of iraqi allies
the people that are most affected by what's happening are african-american and hispanic people,support,we need law and order in the inner cities
we've now reduced the importing of foreign oil in the last year alone by one-third,support,we've been very successful in both cases
everybody knows he’s a liar,attack,you’re the liar
it's much more complex,support,we absolutely must
we're working with the brits and the germans and the french,support,we dealt with iran differently than we have iraq partly
i had to assemble the president's advisers,support,i talked to president aquino
the american people are fair,support,it's turning around
to be fair,support,"to continue prosperity by sharing some of the surplus with the people who pay the bills, particularly those at the bottom end of the economic ladder"
"we reduced, in proportion of other states, the per capita spending, the per capita size of government",support,we did cut the increase in spending in half
it was the first national security decision that we had to make,support,that's why people are so concerned
"joe wants to buy the business that he has been in for all of these years, worked 10, 12 hours a day",support,"i would like to mention that a couple days ago senator obama was out in ohio and he had an encounter with a guy who's a plumber, his name is joe wurzelbacher"
i'm elected president,support,we will have a balanced budget by fiscal year 1981
we do have a serious problem in our culture,support,it's really a matter of culture
"you need a better community, you know, relation",support,you have to have stop-and-frisk
people know what to do,support,"they can do whatever they want, but they got to open these states up"
within that sixty-billion dollars increase there would be fit the programs that i promised the american people,support,as a matter of fact there is
businesses in america today are paying the second highest tax rate of anywhere in the world,support,we need to cut the business tax rate in america
you can do that with congress,attack,everybody says you can't do that with congress
we've got dan whose president is going to take 8 years to balance the budget,support,"the senator, whose boss is going to get it half way balanced in 4 years"
he has surrounded himself with former kgb apparatchiks,support,"long ago, i warned about vladimir putin"
i got him to give the birth certificate,support,"when i got involved, i didn't fail"
"the promise of the revolution was democracy, human rights, free labor unions, free press",support,the previous administration stood by and so did i -- not that i could have done anything in my position at that time -- but for this revolution to take place
"governor reagan's approach to our energy policy, which has already proven its effectiveness, is to repeal, or to change substantially, the windfall profits tax",support,he wants to put all our eggs in one basket and give that basket to the major oil companies
we have to work with the police,support,"so we have to do two things, as i said"
the taxpayers are the ones that need the relief,support,i think the american taxpayer ought to get an additional tax break - a tax reduction of that magnitude
they're getting every dime of their money,attack,the rule is that part of their money is supposed to be withheld when they're under investigation
"the vice president cast the deciding vote against federal aid for teachers' salaries in the senate, which prevented that being added",support,the administration and the republican majority in the congress has opposed any realistic aid to education
it's not true,attack,it's a continuation of at least insinuating that there's some connection between 9/11 and saddam hussein
i think the opportunities and the possibilities are getting better,support,e will have solved many of the internal domestic problems that exist in south korea at the present time
"you're going to have to place -- replace a $12,000 plan with a $5,000 check you just give to the insurance company",support,"you're going to have to pay -- replace a $12,000 plan"
let us look at the agendas,support,"bill clinton's economic plan and his agenda will make matters much, much worse"
we're talking about the kinds of fundamental changes in programs and government that are going to affect people's lives for the next 25 or 30 years,support,we have to make some kind of forecast
we have considered inflation in our figures,support,i believe the budget can be balanced by 1982 or 1983
let's try to expand our markets abroad,attack,let's not go back to that-what they call supply management and production control
i'm not satisfied with it even if there were no communism in the world,support,"when we're in the kind of a race we're in, we have got to see that america grows just as fast as we can, provided we grow soundly"
we are energy rich,support,we have the sources here
i know what it's like to see somebody you love nearly lose their lives,support,i hate drugs
there was deception there,support,"it was the predator lenders, who tried to talk americans into thinking that it was smart to buy a $300,000 house if we could only afford a $100,000 house"
i promise you the economy is going to get better,support,we're going into the next century a better america
they will be removed,support,we're not in the habit of assigning guilt before there has been proper evidence produced and proof of that guilt
it was a disaster from our standpoint,support,if you look at the paris accord
"the air pollution standard laws that were passed in california were passed over the objections of governor reagan, and this is a very well-known fact",attack,"as governor of california, i took charge of passing the strictest air pollution laws in the united states - the strictest air quality law that has even been adopted in the united states"
i don't have any experience in running up a $4 trillion debt,support,i do have a lot of experience in getting things done
when the asian financial crisis raised the risk of world-wide recession that could affect our economy,support,i have had a chance to work with him and alan greenspan and others on the crisis following the collapse of the mexican peso
"on the $87 billion, it was clear at the time of that vote that they had no plan to win the peace",support,we're seeing the consequences of that everyday on the ground right now
"it was a man down there in that area that this was delivered to, and he recognized that what was in that manual was in direct contravention of my own executive order, in december of 1981",support,we would have nothing to do with regard to political assassinations
love your neighbor like you would like to be loved yourself,support,there's a larger law
let's look at the overall record,support,"overall in america cocaine use has dropped 30 percent in the last four years, casual drug use down 13 percent"
i think that the american people also need to be a little more responsible and think about whether there's a connection with their lives and what we do in washington,support,i think what we have to do is convince people there is a big difference
"he taxes as income every one of you out there, every one of you listening who has a health care plan through your employer",support,that's how he raises $3.6 trillion
"instead of part of their money being withheld, which is the way it's normally done",support,they've continued to get their money
when these people over here were talking about a freeze,support,"if we'd listened to them, we would never have had a treaty"
"as they are now, for having overcharged the american taxpayer",support,the rule is that part of their money is supposed to be withheld when they're under investigation
we have to make some kind of forecast,support,i think we have to make some planning assumption to proceed
there is no greater return to an economy or to a society than an educational system second to none,support,"i think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated"
"exxon mobil, and other oil companies, for example, would get an additional $4 billion in tax breaks",support,"senator mccain, the centerpiece of his economic proposal is to provide $200 billion in additional tax breaks to some of the wealthiest corporations in america"
move her forward so that we can stay ahead of the soviet union and win the battle for freedom and peace,support,that's why i stand so strongly for programs that will move america forward in the sixties
"iran has not yet, as iraq did, violated 12 years of resolutions by the u.n. security council",support,we dealt with iran differently than we have iraq partly
"the gun epidemic is the leading cause of death of young african- american men, more than the next nine causes put together",support,we've got to get guns out of the hands of people who should not have them
all at the same time,support,it's much more complex
"when it comes to policing, since it can have literally fatal consequences",support,"in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers"
it is a fact in the august session that the four members of the rules committee who were republicans joining with two democrats voted against sending the aid to education bill to the floor of the house,support,it was killed in the rules committee
we've got to see around the corners,support,"part of the job of the next commander-in-chief, in keeping all of you safe, is making sure that we can see some of the 21st century challenges and anticipate them before they happen"
making sure that ceos are not enriching themselves through this process,support,the financial rescue plan that senator mccain and i supported is an important first step
no one can be opposed to alternate energy,support,i have voted for alternate fuel all of my time
that's one thing i'm an insider on,support,i have in my brain and in my heart what it takes to lead america through tough times
those uh programs were designed to help those who need it most,support,quite often congress has passed laws in the past designed to help people with uh - the ownership of homes and with the control of crime and with adequate health care and education programs and so forth
the reality about iran is that iran has moved forward with their nuclear weapons program on their watch,support,john kerry and i believe we need to strengthen the sanctions on iraq
i supported a big expansion in safe and drug-free schools program to support things like the dare program,support,i thought all those things were very important
"i was chairman of ""minnesotans for kennedy;'' president reagan was chairman of a thing called ""democrats for nixon",support,maybe we made a wrong turn with kennedy
"we did, 25 percent across the board",support,"all of the things that i said we would do, from inflation being down, interest rates being down, unemployment falling, all of those things we have done"
so deregulation was the promise,support,"those people who say don't go into debt, they can barely pay to fill up their gas tank"
he was pushing for lifting sanctions when he was ceo of halliburton,support,this is relevant
"states like florida, colorado, virginia, and other states",support,you don't buy any gun
"it is a combination of planned reduction of the tax increase that carter has built into the economy, and that's what he's counting on for his plan",support,i believe the budget can be balanced by 1982 or 1983
it is time for a change,support,bill clinton and i stand for change
"when i opposed medicare, there was another piece of legislation meeting the same problem before the congress",support,i was not opposing the principle of providing care for them
he'll either have to raise your taxes by $900 billion or go into the social security surplus for $900 billion,support,the surest way to bust this economy is to increase the role and size of the federal budget
i know some things about the vietnam war better than anybody in the world,support,that's one thing i'm an insider on
it's extremely difficult to make that judgment,attack,"i believe that when you get into a w- if you're going to get into war for the defense of formosa, it ought to be on a clearly defined line"
you cannot succeed in this effort if you're not willing to recognize the enormous contribution the iraqis are increasingly making to their own future,attack,he won't count the sacrifice and the contribution of iraqi allies
it's being used in 17 states right now,support,"states like florida, colorado, virginia, and other states"
opposes an amendment to protect the flag of the united states of america,support,there are some very fundamental differences in this campaign
"that is a misstatement, of course, of my position",attack,he wants to put all our eggs in one basket and give that basket to the major oil companies
a president must know these things,support,this has hurt this country
that is totally legitimate,support,"who they voted for, testify, say who they voted for, say it’s you"
to short-circuit our synthetic fuels program,support,"governor reagan's approach to our energy policy, which has already proven its effectiveness, is to repeal, or to change substantially, the windfall profits tax"
"we have only leased out - begun to explore - 2% of our outer continental shelf for oil, where it is believed, by everyone familiar with that fuel and that source of energy, that there are vast supplies yet to be found",support,i do believe that this nation has been portrayed for too long a time to the people as being energy-poor when it is energy-rich
they want those civil rights laws enforced,support,they want it
"teamwork and partnership may be fine in the congress, senator gore -- that's what congress is all about, compromise, teamwork, working things out",support,when you're president of the us
"in some cases, it's not good",support,you need better relationships between the communities and the police
that's part of america,support,i will always respect everybody's right to practice religion as they choose -- or not to practice
the american people are beginning to vote across racial lines,support,i believe that this country is electing more and more african americans and latinos and asian americans who are representing districts that are themselves not necessarily of a majority of their race
why am i here tonight?,support,i have in my brain and in my heart what it takes to lead america through tough times
"hen you do well, america does well",support,even the wealthy do well
we were peaceful when mr. ford went into office,support,he and mr. kissinger and others tried to start a new vietnam in angola
i voted for it,support,"i would take any action necessary to defend the treaty, formosa, and the pescadores island"
it's a tremendously successful club,support,"i'm very, very proud of it"
they’ve done nothing to help small businesses,support,one in six is now gone
"he said i don't know, joe",support,i never have enough money to do it
"there seems to be a lot of preoccupation on -- not certainly only in this debate, but just in general on law",support,there's a larger law
it did not do what it needed to do,support,"stop-and-frisk was found to be unconstitutional and, in part, because it was ineffective"
which advocates not only assassinations of sandinistas but the hiring of criminals to assassinate the guerrillas we are supporting in order to create martyrs,support,"just at this moment, we are confronted with the extraordinary story of a cia guerrilla manual for the anti-sandinista contras whom we are backing"
we want to bring international pressures to bear on russia in hopes that that will modify and eventually change their behavior,support,the g-8 is one of those
i was not opposing the principle of providing care for them,attack,"governor reagan, as a matter of fact, began his political career campaigning around this nation against medicare"
you can’t fix the economy until you fix the covid crisis,attack,he wants to open it up more
i agree with secretary clinton on this,support,you need better relationships between the communities and the police
"that’s when crime went down, it didn’t go up",support,"we have to have community policing like we had before, where the officers get to know the people in the communities"
he called the military stupid bastards,attack,i did not say that
i have uh - added in the current year budget the funds for the national park service,support,let's talk about what the ford administration has done in the field of environment
proud that they voted hopefully for me,support,proud that they voted for the right candidate
we have a different value set,support,the middle class is the economic engine
"what you had is you had overwhelming ""deregulation",support,you had actually the belief that wall street could self-regulate itself
"even if you put his income up ten percent, that would be two and three-quarters percent three pers- or three cents out of that twenty-five cents",support,the farmer who grows wheat gets about two and a half cents out of a twenty-five-cent loaf of bread
"it is 300,000 people smaller today than it was eight years ago",support,the size of the federal government will go down in a gore administration
that's how he raises $3.6 trillion,attack,the other you take it
"they know that if you go, for example, to factcheck.com you can get the specific details with respect to halliburton",support,they know the charges are false
i would come up with a game plan to deal with it,support,we end up being problem solvers
"the voluntary thing that i suggested many years ago was that with a young man orphaned and raised by an aunt who died, his aunt was ineligible for social security insurance because she was not his mother",support,"i suggested that if this is an insurance program, certainly the person who is paying in should be able to name his own beneficiary"
i just left detroit,support,i've been all over
we can't just provide moral support,support,we've also got to provide them with financial and concrete assistance to help rebuild their economies
not on their defending some minority opinion on the right or the left,support,i support that
i eliminated personal property taxes and eliminated small business inventory taxes and as governor we suspended our state fuel tax,support,"as mayor, every year i was in office i did reduce taxes"
get out of the way and let the private sector and our families grow and thrive and prosper,attack,an increased tax formula that barack obama is proposing in addition to nearly a trillion dollars in new spending that he's proposing is the backwards way of trying to grow our economy
there are 22000 miners out of work,support,"the coal that the president mentioned - yes, we have it - and yet one-eighth of our total coal resources is not being utilized at all right now"
i try to have a real american citizen there who is directly affected by it so that people can see the connection of what happens way across the country,support,"i think we should do is something i have been trying to do since i have been president, is every time i do something in a public way"
you need more police,support,you have to have stop-and-frisk
"in other words, we're going to take joe's money, give it to senator obama, and let him spread the wealth around",support,when senator obama ended up his conversation with joe the plumber -- we need to spread the wealth around
"to leave this rather in the air, that we will defend it under some conditions but not under other",support,i think is a mistake
it may be a little risky in some respects from an economic standpoint to try to forecast surpluses,attack,i think we have to make some planning assumption to proceed
the situation was ended,support,i've been there
there've been more disputes in its area where there's more volatility than any other place in the world,support,"i can assure you that this administration will follow that high moral principle in our future efforts in foreign policy, including our efforts in the middle east where it is vitally important"
his judgment's flawed,support,we've questioned is his judgment
we have to move on other areas that are holding back growth,support,we have to move into those areas with programs so that we make adequate use of the resources of those areas
if the american people want to do it and not talk about it,support,i'm one person they ought to consider
that's not what we need to create jobs and really bolster and heat up our economy,attack,"barack had 94 opportunities to side on the people's side and reduce taxes and 94 times he voted to increase taxes or not support a tax reduction, 94 times"
we have no energy policy,support,i would do the opposite in every respect
as long as he as a major presidential candidate continues to suggest that we are going to turn over these islands,support,he is only encouraging the aggressors - the chinese communist and the soviet aggressors - to press the united states
americans are hurting right now,support,they're angry
"i have defined the issues and i am not going to let governor dukakis go through this election without explaining some of these very liberal position he's the one a liberal, traditional liberal a progressive liberal democrat",support,"if he says ideology doesn't matter, i don't agree with him"
the comparison of approaches is such that i think will lead to further strength,support,"as the record develops, i think it's going to become increasingly clear that what i am saying and where i want to take this country is exactly where the country wants to go"
we have to restore trust between communities and the police,support,we've got to do several things at the same time
i'm mindful in a free society that people can worship if they want to or not,support,you're equally an american if you choose to worship an almighty and if you choose not to
he's got the experience,support,president bush has made the decisions
they also rejected them in the effort to do the reconstruction in iraq,support,just reject the allies going into lead- up to the war
governor carter has said repeatedly that coal is the resource that we need to use more in the effort to become independent of the uh - arab oil supply,support,that strip-mining bill would've severely set back our need for more coal
"in the proposal for the alaska lands legislation, 100% of all the offshore lands would be open for exploration",support,"we're not putting restraints on american exploration, we're encouraging it in every way we can"
fine,support,if it’s me
the ford administration does have a very comprehensive program to help uh - our major metropolitan areas,support,we will really do a first-class job in helping uh - the communities throughout the country
democracy continued in the philippines,support,the situation was ended
they had known each other before,support,a coup broke out in the philippines
"we deliberately took figures that we, ourselves, believed were too conservative",support,we have considered inflation in our figures
which i used four years in georgia,support,i'm going to institute zero-based budgeting
i think that we ought to make all schools gun free,support,i think that measures like these are important
"he has exhibited most aggressive behavior, obviously, in georgia",support,"long ago, i warned about vladimir putin"
i'm sure every state in the union has got them,support,everybody believes that
you’re going to lose all of your radical left supporters,support,if you say those words
he came recently and addressed a joint session of congress,support,"our most important ally in the war on terror, in iraq specifically, is prime minister allawi"
we recognize there are going to be some areas of common interest,support,one is nuclear proliferation
that's hopeful,support,today in america more minorities own a home than ever before
you're going to decide whether we're going to balance the budget now,support,your responsibility is to show up on november the 5th
the united states must not spread itself too thinly,attack,united states will take the leadership and try to resolve the differences
"if you vote the other way, you will be lucky to save it",support,i think what we have to do is convince people there is a big difference
we've got to show moral support for ukraine,support,we've got to advocate for their membership in nato
the way we work together in this campaign is one sample,support,the teamwork and partnership beforehand -- and hopefully that situation never happens -- how you work together is critically important
"instead of a high unemployment, we have the lowest african-american and latin american unemployment rates in history and 22 million new jobs",support,i want to continue the prosperity and make sure that it enriches not just a few but all of our families
"in this instance the good intentions, of course, are a desire for peace",support,we're not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom
"we have, with our five-year plan for the leasing of offshore lands, proposed more land to be drilled than has been opened up for drilling since this program first started in 1954",support,"we're not putting restraints on american exploration, we're encouraging it in every way we can"
i would be gathering up and making sure we had the comp–countries of the world coming up with 20 billion dollars,support,instead of doing something about that
"when they get in office, they try to govern like republicans",support,"it is good fo the american people to remember that there is a sharp basic historical difference between governor reagan and me on these crucial issues - also, between the two parties that we represent"
"values, judgment, and the record that i have amassed in my state also should count for something",support,it's not everything
we have a separate and unequal school system in the united states of america,support,i think we have a lot more loving of our neighbor to do in this country and on this planet
i misspoke when i said a cia head in nicaragua,attack,it was turned over to the agency head of the cia in nicaragua to be printed
i have a plan to put people back to work,support,that's not wishy- washy
he's offering more of it,support,i don't think he'll be reelected
i've got some points that i want to make here,support,i still haven't gotten an answer to my question on when you guys are going to start worrying about this country
i did not want my child to grow up to be part of the first generation of americans to do worse than her parents,support,i got into this race
they're trying to throw up a smokescreen,support,they keep mentioning halliburton
john kerry has voted for the biggest intelligence appropriations in the country's history,support,john kerry has consistently supported the very men that he served with in vietnam and led
"if i say yes, then that means that we're reigniting the old cold war",support,maybe
we can enforce law,support,"there seems to be a lot of preoccupation on -- not certainly only in this debate, but just in general on law"
i was a democrat at that time,support,you might find those words in a democratic platform of some years ago -- i know
"i stand with the secretary of state, mr. herter, who said these islands were indefensible",support,i stand with them
the warhead principle -- there have been counting rules for years,support,these are standard rules
let me tell you what i tried to do about it,support,i appointed a four-star general who led our efforts south of the border to keep drugs from coming into the country as our nation's drug czar
offshore subsidiaries to do business with iran,support,including closing the loophole that allows companies to use a subsidiary
"we went from 2,200 to 500",support,stop-and-frisk had a tremendous impact on the safety of new york city
"we've seen a situation in which, first, they voted to commit the troops, to send them to war",support,"if they couldn't stand up to the pressures that howard dean represented, how can we expect them to stand up to al qaida"
"they were also weapons that -- or carriers -- that if they were sent out and there was a change, you could call them back before they had launched their missiles",support,i never said any such thing
he will make government bigger,support,"bill clinton's economic plan and his agenda will make matters much, much worse"
which they're doing,support,we'll win when they take on responsibility for governance
we need a president who has the experience,support,you need to have a president you can trust
it is obvious that we should have a commitment to them,support,these constant suggestions that the basic social security system should be changed does call for concern and consternation among the aged of our country
i see what it does,support,communism is the enemy of all religions
we don't call that redistribution,support,we call that fairness number one
i do think there are special experiences and judgments and backgrounds and understandings that women bring to this process,support,i think it would be a good thing for america if it happened
"secondly, a strong and sophisticated economic aid program and human rights program that offers a better life and a sharper alternative to the alternative offered by the totalitarians who oppose us",support,we need a three-pronged attack
